,gene_name,mean_expression
0,ATAD3B,0.5419230182539279
1,PRDM16,0.47277164793817056
2,PEX10,0.48883917221742007
3,PEX14,0.4990339146794122
4,PLCH2,0.21556414298062745
5,SPSB1,0.7376824121625057
6,SLC2A5,0.3266385315503127
7,PLEKHM2,0.8175624141963695
8,NMNAT1,0.5535414653988916
9,CCDC27,0.17389535770580158
10,DISP3,0.21556414298062745
11,MMEL1,0.41818782732496057
12,TMEM51,0.6182946051761835
13,FBXO42,0.7161488788325622
14,ALDH4A1,0.5142116235318045
15,CLCN6,0.6697005135506178
16,CELA2A,0.35653632989271367
17,CELA2B,0.3488330706259216
18,RER1,0.8625108049016118
19,PANK4,0.5620582701988102
20,VPS13D,0.871714038745106
21,RBP7,0.965881934204505
22,GPR157,0.4501957593939086
23,ZBTB40,0.6397518686123964
24,NPHP4,0.5361773529262216
25,HES5,0.4051202521991153
26,SZRD1,0.8330197793257741
27,PDIK1L,0.4965170081863019
28,NECAP2,0.929780851172014
29,LAPTM5,0.7773936034982458
30,SLC30A2,0.2640972186912086
31,PHACTR4,0.889815426857172
32,CNKSR1,0.3654853307571058
33,FAM110D,0.8771037779020695
34,MED18,0.4258402399959323
35,SLC9A1,0.7371739462043017
36,LDLRAP1,0.6287181573193674
37,ATP5IF1,0.825189403569431
38,SDC3,0.5793206894798393
39,PAFAH2,0.5927187674785173
40,DNAJC8,0.9327299537295978
41,SESN2,0.6512940458636294
42,SERINC2,0.510550668632735
43,AJAP1,0.43656887171403874
44,PTAFR,0.725682615548889
45,NKAIN1,0.10743885696852595
46,SNRNP40,0.8705445670412366
47,SLC25A33,0.7169370010677785
48,GJB3,0.1598871205572787
49,DNAJC16,0.6764631107947323
50,EYA3,0.7980373214013322
51,ZNF593,0.5252453348248335
52,FABP3,0.4244673819087812
53,EPHA2,0.7754614328570703
54,ARHGEF19,0.5902018609854071
55,KAZN,0.7878171556414298
56,TNFRSF1B,0.9287130726597854
57,UBE4B,0.613769258148167
58,PLA2G5,0.26938526465653123
59,PTPRU,0.38615447195810243
60,ZMYM6,0.4911781156251589
61,GJB5,0.047973763156556666
62,AGO4,0.6027863934509584
63,CDCA8,0.47500889815426856
64,CPLANE2,0.3110286266334469
65,ZBTB8B,0.2832155387196827
66,PAX7,0.047973763156556666
67,EXTL1,0.22298774597040727
68,CASZ1,0.5781766410738801
69,AGMAT,0.267122591142523
70,DNALI1,0.4535007881222352
71,RRAGC,0.7570041185742614
72,GRIK3,0.4456449890679819
73,PLA2G2D,0.1838612904866019
74,YRDC,0.7733512991305233
75,GUCA2B,0.1402603345706005
76,RCC2,0.5311943865358214
77,PSMB2,0.9345095845833121
78,,0.047973763156556666
79,CASP9,0.4393400111862511
80,DDI2,0.7364112472669955
81,UQCRH,0.917120048812732
82,THRAP3,0.9662378603752478
83,PADI6,0.047973763156556666
84,PADI4,0.2184115523465704
85,C1orf122,0.7055473636040067
86,EPHA10,0.17918340367112423
87,FHL3,0.7386484974830935
88,RHBDL2,0.45693293334011287
89,INPP5B,0.6253622819952204
90,FAM183A,0.15078557990542532
91,ZMYM4,0.7365129404586362
92,UTP11,0.8742055219403061
93,C1orf216,0.547643260283724
94,ACTL8,0.047973763156556666
95,RLF,0.8355621091167946
96,CLSPN,0.4255351604210098
97,GNL2,0.8883917221742005
98,GJA4,0.8295113642141658
99,MORN1,0.3649260182030813
100,TTC22,0.17918340367112423
101,TIE1,0.9586108710021864
102,MYCBP,0.7618853917730208
103,DLGAP3,0.2934102811816749
104,RIMS3,0.2611481161336249
105,ECHDC2,0.5261097269537804
106,RAB3B,0.2929526618192912
107,SMIM12,0.8816799715259064
108,TMEM61,0.2769105608379519
109,ERI3,0.8011898103421976
110,CZIB,0.8166471754716021
111,FAM151A,0.17389535770580158
112,PODN,0.3312909950678802
113,OSBPL9,0.8537397671225911
114,C1orf210,0.2416738699344079
115,PARS2,0.30561346417857327
116,ZYG11A,0.19273402145726343
117,ZYG11B,0.701988101896578
118,L1TD1,0.3090456093964509
119,,0.047973763156556666
120,TXNDC12,0.7732750292367926
121,SF3A3,0.910052371993695
122,TTC4,0.5254232979102049
123,KLF17,0.1402603345706005
124,PLPP3,0.9782376569888646
125,RSPO1,0.1402603345706005
126,SNIP1,0.5505669395433975
127,CPT2,0.45822952153353336
128,FOXJ3,0.8313926882595211
129,TUT4,0.8172573346214471
130,KLF18,0.047973763156556666
131,MAGOH,0.8205115167539533
132,CDKN2C,0.49687293435704477
133,C1orf87,0.1268114099761021
134,ZSWIM5,0.4447043270453043
135,OMA1,0.5036609548990695
136,SLC35D1,0.5572024202979611
137,LRP8,0.6023033507906645
138,TCEANC2,0.46280571515737023
139,KTI12,0.6083286723953831
140,LRRC42,0.6103879595261097
141,KANK4,0.2514109930340164
142,USP1,0.83251131336757
143,AK5,0.32269792037423095
144,GIPC2,0.8671378451212691
145,RPE65,0.167615803121981
146,ANGPTL3,0.25402959271876746
147,DNAJC6,0.43801799969492045
148,AK4,0.809426958865104
149,LEPROT,0.9792037423094524
150,CACHD1,0.7971220826765648
151,EFCAB7,0.49265266690395076
152,MCOLN2,0.231885900238979
153,ST6GALNAC5,0.38419687801901664
154,ATG4C,0.6151929628311384
155,ASB17,0.22484364671785223
156,ADGRL4,0.9896272944526364
157,GJA9,0.2184115523465704
158,MTF1,0.7253775359739666
159,TTLL7,0.45995830579142727
160,KDM4A,0.44404332129963897
161,,0.047973763156556666
162,ZNHIT6,0.7003101642345045
163,MROH7,0.3558244775512279
164,PTGFR,0.2789952712665887
165,LMO4,0.6911577769868308
166,PRPF38A,0.8728835104489754
167,PIGK,0.7173946204301622
168,ST6GALNAC3,0.8961204047389028
169,GUCA2A,0.3457314282808766
170,DOCK7,0.5649565261605736
171,NEGR1,0.32035897696649207
172,FAAH,0.3312909950678802
173,KYAT3,0.7874103828748665
174,SHISAL2A,0.2416738699344079
175,DNTTIP2,0.9588651039812884
176,PTPRF,0.5178217318350536
177,DHCR24,0.8044948390705242
178,COL24A1,0.19725936848527992
179,BSND,0.21047948339858646
180,GPX7,0.49031372349621194
181,SLC44A3,0.3065287029033406
182,PKN2,0.8450704225352113
183,ABCD3,0.7391569634412976
184,ALG14,0.582625718208166
185,ZZZ3,0.047973763156556666
186,YIPF1,0.7234199420348808
187,LDLRAD1,0.15078557990542532
188,,0.047973763156556666
189,GJB4,0.23554685513804852
190,TMEM125,0.21556414298062745
191,DMRTA2,0.15078557990542532
192,HIVEP3,0.5098388162912493
193,TM2D1,0.8719682717242081
194,SCP2,0.9310520160675243
195,BCAR3,0.8191386586668022
196,BARHL2,0.047973763156556666
197,DMAP1,0.6493364519245437
198,AHCYL1,0.8832562159963391
199,CNN3,0.9905933797732241
200,VAV3,0.4880764732801139
201,DPYD,0.7580210504906697
202,TLCD4,0.047973763156556666
203,POU3F1,0.3552905882951136
204,LRRC8D,0.7641734885849393
205,S1PR1,0.9916103116896324
206,ELAPOR1,0.047973763156556666
207,ARHGAP29,0.9759495601769461
208,PGM1,0.566253114353994
209,IGSF21,0.26615650582193523
210,COA7,0.5629226623277571
211,OLFML3,0.326180912187929
212,GCLM,0.8394264503991458
213,TGFBR3,0.9544922967407332
214,SZT2,0.6730055422789444
215,PHTF1,0.7820714903137235
216,F3,0.9827630040168811
217,VCAM1,0.9472212335384146
218,GPR88,0.19273402145726343
219,RWDD3,0.4990339146794122
220,MAN1A2,0.8255961763359944
221,LPAR3,0.17389535770580158
222,CTTNBP2NL,0.9505262622667412
223,STRIP1,0.8026643616209894
224,SLC25A24,0.6045151777088524
225,PIFO,0.23554685513804852
226,TSPAN2,0.6619718309859155
227,LRIG2,0.6714801444043321
228,SLC35A3,0.7383942645039915
229,AGL,0.6706665988712056
230,SLC6A17,0.23015711598108507
231,HSD3B2,0.047973763156556666
232,RNPC3,0.8090456093964509
233,SNX7,0.7002338943407739
234,SLC30A7,0.9146794122133524
235,SEC22B,0.8281893527228352
236,PTGFRN,0.5778207149031372
237,BCAS2,0.8735445161946408
238,ZNF326,0.8101896578024101
239,TRIM45,0.29531702852494024
240,VANGL1,0.536228199522042
241,TENT5C,0.5187115472619108
242,SYCP1,0.2386230741851833
243,PIP5K1A,0.7103523669090355
244,GDAP2,0.6856154980424061
245,TSHB,0.1402603345706005
246,WDR3,0.7518686123964
247,SLC22A15,0.2789952712665887
248,SCNM1,0.8794427213098083
249,FLG,0.3255453297401739
250,ALX3,0.2386230741851833
251,NHLH2,0.15078557990542532
252,TRIM33,0.7628006304977881
253,CDC14A,0.7355468551380485
254,CD53,0.5016525143641634
255,FLG2,0.19273402145726343
256,SRGAP2C,0.7490212030304572
257,SPAG17,0.24352977068185286
258,TTF2,0.5169064931102862
259,MAGI3,0.706208369349672
260,UBL4B,0.1268114099761021
261,GABPB2,0.7085981593532313
262,CD5L,0.30360502364366704
263,LYSMD1,0.37822240301011845
264,DENND2C,0.4570854731275741
265,CD2,0.30263893832307925
266,DEPDC1,0.25402959271876746
267,GPR89A,0.576295317028525
268,GTF2B,0.8526465653124523
269,TNFSF4,0.3274775003813495
270,KCNJ9,0.167615803121981
271,CSF1,0.9256622769105608
272,TNFAIP8L2,0.2754614328570702
273,IGSF8,0.5049321197945797
274,MPC2,0.8906289723902985
275,TLCD4-RWDD3,0.047973763156556666
276,C1orf112,0.45573803833833326
277,FAM78B,0.3365027711394722
278,LAMC1,0.9621192861137947
279,MGST3,0.9648650022880968
280,CASQ1,0.1598871205572787
281,ILF2,0.9776783444348401
282,TIPRL,0.8382569786952764
283,NME7,0.6634972288605278
284,RCSD1,0.5659734580769817
285,TNR,0.2416738699344079
286,SFT2D2,0.7738597650887273
287,UCK2,0.8581379976610566
288,PIGM,0.6328367315808207
289,XCL2,0.2416738699344079
290,POU2F1,0.788223928407993
291,KIFAP3,0.728784257893934
292,TBX15,0.3312909950678802
293,CD48,0.3555956678700361
294,RXRG,0.2619616616667514
295,TPR,0.9564244673819088
296,ATP1A2,0.34087557838002747
297,METTL18,0.5317282757919357
298,CHIA,0.1268114099761021
299,EXTL2,0.6081252860121015
300,DDX59,0.7530889306960898
301,NIBAN1,0.047973763156556666
302,OR10J5,0.047973763156556666
303,LAMC2,0.970102201657599
304,CD58,0.8813240453551635
305,GPA33,0.17918340367112423
306,XCL1,0.25997864442975543
307,KCNJ10,0.312782834189251
308,NUF2,0.28153760105760917
309,MFSD4A,0.6007525296181421
310,TBX19,0.46555143133167237
311,NR5A2,0.8131387603599939
312,SCYL3,0.47277164793817056
313,DUSP10,0.629531702852494
314,NMNAT2,0.42095896679717293
315,TARBP1,0.5835155336350232
316,LY9,0.2416738699344079
317,TDRD5,0.15078557990542532
318,SCCPDH,0.588956119387807
319,ELK4,0.8616972593684853
320,TFB2M,0.7493262826053796
321,LYPLAL1,0.6344129760512534
322,MPZL1,0.9424925001271165
323,INTS7,0.5335333299435603
324,CATSPERE,0.4829155438043423
325,PRDX6,0.9561702344028067
326,EDARADD,0.29737631565566686
327,BRINP3,0.19273402145726343
328,LMX1A,0.047973763156556666
329,ADCY10,0.33469771698784767
330,SELE,0.9970508974424163
331,GPATCH2,0.6826663954848223
332,SMYD2,0.6837850205928713
333,SELL,0.5845578888493416
334,DPT,0.33469771698784767
335,CAPN8,0.2040219657293944
336,RHOU,0.6527177505466009
337,RNF2,0.7564956526160573
338,RGS5,0.8000711852341486
339,SPATA17,0.19725936848527992
340,PRRX1,0.47922916560736256
341,IVNS1ABP,0.9683225708038847
342,ASTN1,0.1838612904866019
343,DTL,0.4716021762343011
344,TRMT1L,0.6655310926933442
345,SOAT1,0.7136828189352723
346,BATF3,0.5652107591396756
347,CNST,0.8734428230029999
348,SOX13,0.7284537550211013
349,NID1,0.7617328519855595
350,ZNF678,0.5417196318706463
351,MRPS14,0.7659531194386536
352,SLC9C2,0.2184115523465704
353,LHX9,0.17389535770580158
354,DESI2,0.8016982763004017
355,SLC26A9,0.2386230741851833
356,SLC45A3,0.3804342299283063
357,ILDR2,0.2184115523465704
358,KIF26B,0.32109625260588803
359,RRP15,0.7106320231860477
360,TMEM59,0.9848477144455179
361,CACYBP,0.948746631413027
362,PTPN14,0.9226623277571566
363,NEK2,0.23554685513804852
364,C1orf53,0.3090456093964509
365,ITLN2,0.2619616616667514
366,RAB4A,0.7894950933035033
367,TOMM20,0.9023745360248131
368,TADA1,0.5292113692988254
369,REN,0.3021558956627854
370,DHX9,0.8921543702649107
371,BTF3L4,0.8027660548126303
372,SWT1,0.5505160929475772
373,FBXO28,0.7885290079829156
374,COP1,0.7180047795800071
375,SLAMF7,0.2611481161336249
376,RGS18,0.32442670463212486
377,GNPAT,0.8061219301367774
378,TGFB2,0.5100167793766207
379,ODR4,0.8019525092795038
380,FMO4,0.5536177352926221
381,NSL1,0.7740123048761886
382,HFM1,0.4416789545939899
383,ATP1A4,0.17389535770580158
384,GALNT2,0.7045812782834189
385,FMO1,0.3301215233640108
386,SPRTN,0.6814969237809528
387,EGLN1,0.8490364570092033
388,FCRL1,0.19273402145726343
389,GNG4,0.3059948136472263
390,PAPPA2,0.32442670463212486
391,LRRN2,0.44587379874917377
392,PPP2R5A,0.8774088574769919
393,C1orf100,0.167615803121981
394,SUCO,0.7607159200691513
395,ATF3,0.97889866273453
396,RNASEL,0.4735343468754767
397,PLXNA2,0.9132048609345604
398,SPATA45,0.19273402145726343
399,PLA2G4A,0.6200742360298978
400,ETNK2,0.3845528041897595
401,SHCBP1L,0.19725936848527992
402,LPGAT1,0.7655463466720903
403,PROX1,0.8476127523262318
404,PFKFB2,0.4033660446433111
405,NENF,0.721716581074897
406,,0.047973763156556666
407,TATDN3,0.6121421670819138
408,SELP,0.9538821375908882
409,CAMK1G,0.1402603345706005
410,ZNF672,0.6579549499161031
411,LAMB3,0.6709208318503076
412,DSTYK,0.7234199420348808
413,ARHGEF10L,0.4770936085829054
414,TSNAX,0.8413586210403213
415,NOS1AP,0.3908069354756699
416,GARIN4,0.047973763156556666
417,RNPEP,0.7359282046067016
418,ANGEL2,0.6303452483856206
419,ITLN1,0.6009050694056033
420,KIAA0040,0.8517313265876849
421,RGSL1,0.19273402145726343
422,EXOC8,0.6213962475212285
